Percentiles,test,t
8.414675193537529e-6,B 9G,4800
7.573207674183776e-5,B 9G,5200
0.0012958599798047795,B 9G,5300
0.015348367553012453,B 9G,5400
0.08738640188488725,B 9G,5500
0.2766829350387075,B 9G,5600
0.5170060585661393,B 9G,5700
0.7223830360148098,B 9G,5800
0.8523224503534164,B 9G,5900
0.9223325479636486,B 9G,6000
0.9542325816223494,B 9G,6100
0.9693032648939751,B 9G,6200
0.9759761023224504,B 9G,6300
0.9797795355099294,B 9G,6400
0.9824806462470549,B 9G,6500
0.9847778525748906,B 9G,6600
0.9866879838438236,B 9G,6700
0.9883709188825311,B 9G,6800
0.9899949511948839,B 9G,6900
0.9913328845506564,B 9G,7000
0.992502524402558,B 9G,7100
0.9934533826994278,B 9G,7200
0.9942022887916526,B 9G,7300
0.9950269269606193,B 9G,7400
0.9954981487714574,B 9G,7500
0.9959441265567149,B 9G,7600
0.9963648603163918,B 9G,7700
0.9966846179737462,B 9G,7800
0.9969033995287782,B 9G,7900
0.997088522383036,B 9G,8000
0.9972988892628745,B 9G,8100
0.997416694715584,B 9G,8200
0.9975513295186805,B 9G,8300
0.9976270615954225,B 9G,8400
0.9977112083473578,B 9G,8500
0.997871087176035,B 9G,8600
0.9978879165264221,B 9G,8700
0.9979468192527768,B 9G,8800
0.9980141366543251,B 9G,8900
0.9980393806799057,B 9G,9000
0.9980814540558735,B 9G,9100
0.998106698081454,B 9G,9200
0.9981151127566475,B 9G,9300
0.9981571861326153,B 9G,9400
0.9982160888589701,B 9G,9500
0.9982497475597442,B 9G,9600
0.9982834062605184,B 9G,9700
0.9983086502860989,B 9G,9800
0.9983338943116795,B 9G,9900
0.9983507236620667,B 9G,10000
0.9983675530124537,B 9G,10100
0.9984012117132278,B 9G,10200
0.998434870414002,B 9G,10300
0.9984516997643891,B 9G,10400
0.9984937731403568,B 9G,10500
0.9985274318411309,B 9G,10600
0.9985358465163244,B 9G,10700
0.9985779198922922,B 9G,10800
0.9985947492426792,B 9G,10900
0.9986031639178727,B 9G,11000
0.9986452372938405,B 9G,11100
0.9986620666442275,B 9G,11200
0.9986788959946146,B 9G,11300
0.9987125546953888,B 9G,11400
0.9987293840457758,B 9G,11500
0.99876304274655,B 9G,11600
0.9987882867721306,B 9G,11800
0.9988387748232919,B 9G,11900
0.9988471894984854,B 9G,12000
0.9988556041736789,B 9G,12100
0.998889262874453,B 9G,12200
0.9989229215752272,B 9G,12300
0.9989313362504207,B 9G,12400
0.9989649949511948,B 9G,12500
0.9989734096263885,B 9G,12600
0.9990070683271626,B 9G,12700
0.9990323123527431,B 9G,12800
0.9990407270279367,B 9G,12900
0.9990659710535174,B 9G,13000
0.9990912150790979,B 9G,13100
0.9991164591046786,B 9G,13200
0.9991417031302592,B 9G,13300
0.9991501178054527,B 9G,13400
0.9991669471558398,B 9G,13500
0.9992090205318075,B 9G,13600
0.9992258498821945,B 9G,13700
0.9992510939077751,B 9G,13800
0.9992595085829687,B 9G,13900
0.9992931672837428,B 9G,14000
0.9993099966341299,B 9G,14100
0.9993352406597106,B 9G,14200
0.9993520700100976,B 9G,14300
0.9993857287108717,B 9G,14400
0.9994025580612589,B 9G,14500
0.9994109727364524,B 9G,14600
0.999436216762033,B 9G,14700
0.99945304611242,B 9G,14800
0.9994782901380007,B 9G,14900
0.9994867048131942,B 9G,15000
0.9995035341635813,B 9G,15100
0.9995371928643554,B 9G,15200
0.9995792662403231,B 9G,15300
0.9996129249410973,B 9G,15500
0.9996465836418714,B 9G,15600
0.999654998317065,B 9G,15700
0.9996802423426455,B 9G,15800
0.9996886570178392,B 9G,15900
0.9996970716930327,B 9G,16000
0.9997223157186133,B 9G,16100
0.9997307303938068,B 9G,16300
0.9997475597441938,B 9G,16400
0.9997559744193875,B 9G,16500
0.9997728037697745,B 9G,16600
0.999781218444968,B 9G,16800
0.9997980477953551,B 9G,16900
0.9998064624705486,B 9G,17100
0.9998148771457421,B 9G,17300
0.9998232918209358,B 9G,17400
0.9998317064961293,B 9G,17500
0.9998485358465163,B 9G,17600
0.9998569505217099,B 9G,17700
0.9998737798720969,B 9G,17800
0.9998821945472904,B 9G,18000
0.999890609222484,B 9G,18100
0.9998990238976776,B 9G,18300
0.9999242679232582,B 9G,18400
0.9999326825984517,B 9G,18600
0.9999410972736452,B 9G,18700
0.9999495119488387,B 9G,18900
0.9999579266240323,B 9G,19100
0.9999663412992259,B 9G,19800
0.9999747559744194,B 9G,20000
0.999983170649613,B 9G,20700
0.9999915853248065,B 9G,20800
1,B 9G,21700
8.329654402638834e-6,B 10G,6100
6.663723522111068e-5,B 10G,6200
1.665930880527767e-4,B 10G,6300
2.2490066887124853e-4,B 10G,6400
2.915379040923592e-4,B 10G,6500
5.081089185609689e-4,B 10G,6600
5.830758081847184e-4,B 10G,6700
6.497130434058291e-4,B 10G,7600
7.913171682506892e-4,B 10G,7700
0.0010328771459272154,B 10G,7800
0.0012910964324090194,B 10G,7900
0.0015409860644881844,B 10G,8000
0.0017825460421647106,B 10G,8100
0.0020241060198412366,B 10G,8200
0.002265665997517763,B 10G,8300
0.0025488742472074832,B 10G,8400
0.0027821045704813706,B 10G,8500
0.0029403680041315086,B 10G,8600
0.0030403238569631746,B 10G,8700
0.003173598327405396,B 10G,8800
0.0033984989962766443,B 10G,8900
0.0035984107019399764,B 10G,9000
0.0037316851723821977,B 10G,9100
0.0038483003340191416,B 10G,9200
0.003973245150058724,B 10G,9300
0.004106519620500945,B 10G,9400
0.004223134782137889,B 10G,9500
0.004364738906982749,B 10G,9600
0.004498013377424971,B 10G,9700
0.004756232663906774,B 10G,9800
0.005022781604791218,B 10G,9900
0.005231022964857188,B 10G,10000
0.005480912596936353,B 10G,10100
0.005739131883418157,B 10G,10200
0.005955702897886767,B 10G,10300
0.006238911147576487,B 10G,10400
0.006463811816447736,B 10G,10500
0.006730360757332178,B 10G,10600
0.0069719207350087044,B 10G,10700
0.007221810367087869,B 10G,10800
0.007480029653569673,B 10G,10900
0.0077215896312461995,B 10G,11000
0.007979808917728003,B 10G,11100
0.00821303924100189,B 10G,11200
0.008471258527483694,B 10G,11300
0.008729477813965499,B 10G,11400
0.008954378482836747,B 10G,11500
0.009212597769318551,B 10G,11600
0.00942916878378716,B 10G,11700
0.009704047379074243,B 10G,11800
0.009953937011153408,B 10G,11900
0.010212156297635212,B 10G,12000
0.010470375584117016,B 10G,12100
0.010695276252988264,B 10G,12200
0.010945165885067429,B 10G,12300
0.01122004448035451,B 10G,12400
0.01143661549482312,B 10G,12500
0.011703164435707562,B 10G,12600
0.011953054067786727,B 10G,12700
0.012186284391060615,B 10G,12800
0.01243617402313978,B 10G,12900
0.012702722964024223,B 10G,13000
0.01293595328729811,B 10G,13100
0.013202502228182552,B 10G,13200
0.0134274028970538,B 10G,13300
0.013685622183535605,B 10G,13400
0.013927182161212132,B 10G,13500
0.014185401447693936,B 10G,13600
0.014410302116565184,B 10G,13700
0.01466019174864435,B 10G,13800
0.01492674068952879,B 10G,13900
0.015168300667205318,B 10G,14000
0.015443179262492399,B 10G,14100
0.01565975027696101,B 10G,14200
0.01593462887224809,B 10G,14300
0.016167859195521977,B 10G,14400
0.016401089518795865,B 10G,14500
0.01665930880527767,B 10G,14600
0.016892539128551556,B 10G,14700
0.017175747378241277,B 10G,14800
0.017425637010320443,B 10G,14900
0.017675526642399606,B 10G,15000
0.017908756965673494,B 10G,15100
0.01815031694335002,B 10G,15200
0.018425195538637102,B 10G,15300
0.018650096207508352,B 10G,15400
0.018933304457198073,B 10G,15500
0.01915820512606932,B 10G,15600
0.019391435449343207,B 10G,15700
0.019641325081422373,B 10G,15800
0.019857896095890983,B 10G,15900
0.020132774691178062,B 10G,16000
0.02037433466885459,B 10G,16100
0.02064921326414167,B 10G,16200
0.020882443587415558,B 10G,16300
0.0211489925283,B 10G,16400
0.021365563542768612,B 10G,16500
0.021648771792458332,B 10G,16600
0.021882002115732217,B 10G,16700
0.022131891747811383,B 10G,16800
0.02238178137989055,B 10G,16900
0.022631671011969712,B 10G,17000
0.02288156064404888,B 10G,17100
0.023114790967322767,B 10G,17200
0.02336468059940193,B 10G,17300
0.023614570231481096,B 10G,17400
0.023864459863560263,B 10G,17500
0.024139338458847342,B 10G,17600
0.02437256878212123,B 10G,17700
0.024605799105395117,B 10G,17800
0.02486401839187692,B 10G,17900
0.025113908023956084,B 10G,18000
0.025338808692827335,B 10G,18100
0.025613687288114417,B 10G,18200
0.025846917611388305,B 10G,18300
0.026096807243467468,B 10G,18400
0.026355026529949272,B 10G,18500
0.026629905125236355,B 10G,18600
0.0268548057941076,B 10G,18700
0.02708803611738149,B 10G,18800
0.027337925749460656,B 10G,18900
0.027621133999150376,B 10G,19000
0.027837705013618985,B 10G,19100
0.02809592430010079,B 10G,19200
0.028337484277777315,B 10G,19300
0.02859570356425912,B 10G,19400
0.028853922850740923,B 10G,19500
0.029070493865209532,B 10G,19600
0.0293203834972887,B 10G,19700
0.02958693243817314,B 10G,19800
0.02981183310704439,B 10G,19900
0.030078382047928832,B 10G,20000
0.030319942025605357,B 10G,20100
0.03059482062089244,B 10G,20200
0.030819721289763687,B 10G,20300
0.03108627023064813,B 10G,20400
0.03132783020832466,B 10G,20500
0.03158604949480646,B 10G,20600
0.03182760947248299,B 10G,20700
0.032102488067770066,B 10G,20800
0.032335718391043954,B 10G,20900
0.032560619059915204,B 10G,21000
0.03281050869199437,B 10G,21100
0.03305206866967089,B 10G,21200
0.033293628647347424,B 10G,21300
0.033576836897037145,B 10G,21400
0.03380173756590839,B 10G,21500
0.034059956852390195,B 10G,21600
0.03430984648446936,B 10G,21700
0.03453474715334061,B 10G,21800
0.03480962574862769,B 10G,21900
0.03505118572630422,B 10G,22000
0.03527608639517547,B 10G,22100
0.035542635336059905,B 10G,22200
0.03578419531373643,B 10G,22300
0.0360340849458156,B 10G,22400
0.03628397457789476,B 10G,22500
0.036542193864376564,B 10G,22600
